Nazwisko	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
PaOb	86	64	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PaPr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	92	-	-	75
PaRo	41	45	74	86	86	115	115	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PaiMaSz	-	-	-	-	-	-	-	46	56	-	99	-	-	-	-	-	-	-	-	-	-
PiBi	-	60	28	48	33	34	34	55	-	-	-	-	-	-	-	-	-	-	-	-	-
PiBy	75	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PiJa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	86
PiJóBu	5	6	21	34	55	74	74	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PiKl	-	-	-	78	93	116	116	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PiKr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	64	84	-	-
PiMi	89	89	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PiNi	-	-	77	-	115	134	134	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PiNo	-	-	-	-	-	-	-	-	-	-	-	94	94	-	-	-	-	-	-	-	-
PiRo	80	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PiSm	76	82	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PiSo	-	-	-	-	-	-	-	-	-	86	-	-	-	-	-	-	-	-	-	-	-
PiSz	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	5	7	3
PiVo	-	-	-	-	103	58	58	61	67	80	58	64	88	88	83	88	88	99	-	-	-
PiWi	-	97	96	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PiiPaWo	-	-	-	-	92	97	97	67	85	81	84	70	-	-	-	-	-	-	-	-	-
PiŁu	80	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PrGa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	51	46	42
PrSz	-	-	-	-	-	25	25	28	30	26	20	36	-	-	-	-	-	-	-	-	-
PriRaKo	-	-	-	-	-	62	62	30	-	-	69	-	-	-	-	-	-	-	-	-	-
RaBr	-	-	-	-	-	-	-	-	-	-	-	54	54	41	93	93	-	-	-	-	-
RaWi	-	-	-	-	51	86	86	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ReiToSz	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	47	45
RoBą	-	-	98	93	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RoDaKo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	65
RoJ.Śc	-	-	-	-	-	-	-	-	-	-	-	82	82	-	-	-	-	-	-	-	-
RoKa	-	-	51	67	69	76	76	75	89	84	95	84	32	32	32	-	-	-	-	-	-
RoKl	16	13	50	56	57	70	70	80	95	76	68	85	85	84	86	86	82	91	98	-	-
RoKo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	62	69	-
RoLe	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	94	-	-
RoSo	-	-	-	-	-	-	92	-	-	-	-	-	-	-	-	-	-	-	-	-	-
